GroupSize	 NBO	 PRAC-CONFIG	 MAXIMUM_ACT
1271	32	1	61
1272	32	1	61
1273	32	1	61
1274	32	1	61
1275	32	1	61
1276	32	1	61
1277	32	1	61
1278	32	1	61
1279	32	1	61
1280	32	1	61
1281	32	1	61
1282	32	1	61
1283	32	1	61
1284	32	1	61
1285	32	1	61
1286	32	1	61
1287	32	1	61
1288	32	1	61
1289	32	1	61
1290	32	1	61
1291	32	1	61
1292	32	1	61
1293	32	1	61
1294	32	1	61
1295	32	1	61
1296	32	1	61
1297	32	1	61
1298	32	1	61
1299	32	1	61
1300	32	1	61
1301	32	1	61
1302	32	1	61
1303	32	1	61
1304	32	1	61
1305	32	1	61
1306	32	1	61
1307	32	1	61
1308	32	1	61
1309	32	1	61
1310	32	1	61
1311	32	1	61
1312	32	1	61
1313	32	1	61
1314	32	1	61
1315	32	1	61
1316	32	1	61
1317	32	1	61
1318	32	1	61
1319	32	1	61
1320	32	1	61
1321	32	1	61
1322	32	1	61
1323	32	1	61
1324	32	1	61
1325	32	1	61
1326	32	1	61
1327	32	1	61
1328	32	1	61
1329	32	1	61
1330	32	1	61
1331	32	1	61
1332	32	1	61
1333	32	1	61
1334	32	1	61
1335	32	1	61
1336	32	1	61
1337	32	1	61
1338	32	1	61
1339	32	1	61
1340	32	1	61
1341	32	1	61
1342	32	1	61
1343	32	1	61
1344	32	1	61
1345	32	1	61
1346	32	1	61
1347	32	1	61
1348	32	1	61
1349	32	1	61
1350	32	1	61
1351	32	1	61
1352	32	1	61
1353	32	1	61
1354	32	1	61
1355	32	1	61
1356	32	1	61
1357	32	1	61
1358	32	1	61
1359	32	1	61
1360	32	1	61
1361	32	1	61
1362	32	1	61
1363	32	1	61
1364	32	1	61
1365	32	1	61
1366	32	1	61
1367	32	1	61
1368	32	1	61
1369	32	1	61
1370	32	1	61
1371	32	1	61
1372	32	1	61
1373	32	1	61
1374	32	1	61
1375	32	1	61
1376	32	1	61
1377	32	1	61
1378	32	1	61
1379	32	1	61
1380	32	1	61
1381	32	1	61
1382	32	1	61
1383	32	1	61
1384	32	1	61
1385	32	1	61
1386	32	1	61
1387	32	1	61
1388	32	1	61
1389	32	1	61
1390	32	1	61
1391	32	1	61
1392	32	1	61
1393	32	1	61
1394	32	1	61
1395	32	1	61
1396	32	1	61
1397	32	1	61
1398	32	1	61
1399	32	1	61
1400	32	1	61
1401	32	1	61
1402	32	1	61
1403	32	1	61
1404	32	1	61
1405	32	1	61
1406	32	1	61
1407	32	1	61
1408	32	1	61
1409	32	1	61
1410	32	1	61
1411	32	1	61
1412	32	1	61
1413	32	1	61
1414	32	1	61
1415	32	1	61
1416	32	1	61
1417	32	1	61
1418	32	1	61
1419	32	1	61
1420	32	1	61
1421	32	1	61
1422	32	1	61
1423	32	1	61
1424	32	1	61
1425	32	1	61
1426	32	1	61
1427	32	1	61
1428	32	1	61
1429	32	1	61
1430	32	1	61
1431	32	1	61
1432	32	1	61
1433	32	1	61
1434	32	1	61
1435	32	1	61
1436	32	1	61
1437	32	1	61
1438	32	1	61
1439	32	1	61
1440	32	1	61
1441	32	1	61
1442	32	1	61
1443	32	1	61
1444	32	1	61
1445	32	1	61
1446	32	1	61
1447	32	1	61
1448	32	1	61
1449	32	1	61
1450	32	1	61
1451	32	1	61
1452	32	1	61
1453	32	1	61
1454	32	1	61
1455	32	1	61
1456	32	1	61
1457	32	1	61
1458	32	1	61
1459	32	1	61
1460	32	1	61
1461	32	1	61
1462	32	1	61
1463	32	1	61
1464	32	1	61
1465	32	1	61
1466	32	1	61
1467	32	1	61
1468	32	1	61
1469	32	1	61
1470	32	1	61
1471	32	1	61
1472	32	1	61
1473	32	1	61
1474	32	1	61
1475	32	1	61
1476	32	1	61
1477	32	1	61
1478	32	1	61
1479	32	1	61
1480	32	1	61
1481	32	1	61
1482	32	1	61
1483	32	1	61
1484	32	1	61
1485	32	1	61
1486	32	1	61
1487	32	1	61
1488	32	1	61
1489	32	1	61
1490	32	1	61
1491	32	1	61
1492	32	1	61
1493	32	1	61
1494	32	1	61
1495	32	1	61
1496	32	1	61
1497	32	1	61
1498	32	1	61
1499	32	1	61
1500	32	1	61
1501	32	1	61
1502	32	1	61
1503	32	1	61
1504	32	1	61
1505	32	1	61
1506	32	1	61
1507	32	1	61
1508	32	1	61
1509	32	1	61
1510	32	1	61
1511	32	1	61
1512	32	1	61
1513	32	1	61
1514	32	1	61
1515	32	1	61
1516	32	1	61
1517	32	1	61
1518	32	1	61
1519	32	1	61
1520	32	1	61
1521	32	1	61
1522	32	1	61
1523	32	1	61
1524	32	1	61
1525	32	1	61
1526	32	1	61
1527	32	1	61
1528	32	1	61
1529	32	1	61
1530	32	1	61
1531	32	1	61
1532	32	1	61
1533	32	1	61
1534	32	1	61
1535	32	1	61
1536	32	1	61
1537	32	1	61
1538	32	1	61
1539	32	1	61
1540	32	1	61
1541	32	1	61
1542	32	1	61
1543	32	1	61
1544	32	1	61
1545	32	1	61
1546	32	1	61
1547	32	1	61
1548	32	1	61
1549	32	1	61
1550	32	1	61
1551	32	1	61
1552	32	1	61
1553	32	1	61
1554	32	1	61
1555	32	1	61
1556	32	1	61
1557	32	1	61
1558	32	1	61
1559	32	1	61
1560	32	1	61
1561	32	1	61
1562	32	1	61
1563	32	1	61
1564	32	1	61
1565	32	1	61
1566	32	1	61
1567	32	1	61
1568	32	1	61
1569	32	1	61
1570	32	1	61
1571	32	1	61
1572	32	1	61
1573	32	1	61
1574	32	1	61
1575	32	1	61
1576	32	1	61
1577	32	1	61
1578	32	1	61
1579	32	1	61
1580	32	1	61
1581	32	1	61
1582	32	1	61
1583	32	1	61
1584	32	1	61
1585	32	1	61
1586	32	1	61
1587	32	1	61
1588	32	1	61
1589	32	1	61
1590	32	1	61
1591	32	1	61
1592	32	1	61
1593	32	1	61
1594	32	1	61
1595	32	1	61
1596	32	1	61
1597	32	1	61
1598	32	1	61
1599	32	1	61
1600	32	1	61
1601	32	1	61
1602	32	1	61
1603	32	1	61
1604	32	1	61
1605	32	1	61
1606	32	1	61
1607	32	1	61
1608	32	1	61
1609	32	1	61
1610	32	1	61
1611	32	1	61
1612	32	1	61
1613	32	1	61
1614	32	1	61
1615	32	1	61
1616	32	1	61
1617	32	1	61
1618	32	1	61
1619	32	1	61
1620	32	1	61
1621	32	1	61
1622	32	1	61
1623	32	1	61
1624	32	1	61
1625	32	1	61
1626	32	1	61
1627	32	1	61
1628	32	1	61
1629	32	1	61
1630	32	1	61
1631	32	1	61
1632	32	1	61
1633	32	1	61
1634	32	1	61
1635	32	1	62
1636	32	1	62
1637	32	1	62
1638	32	1	62
1639	32	1	62
1640	32	1	62
1641	32	1	62
1642	32	1	62
1643	32	1	62
1644	32	1	62
1645	32	1	62
1646	32	1	62
